"package_name","package_version","package_description","dependencies"
"clutter-gst3","3.0.27","Clutter is an open source software library for creating fast, visually rich and animated graphical user interfaces.  Clutter GStreamer enables the use of GStreamer with Clutter. Fedora Project","atk, cairo, cairo-gobject, clutter, cogl, gdk-pixbuf2, glib2, glibc, gstreamer1, gstreamer1-plugins-base, gtk3, harfbuzz, json-glib, libX11, libXcomposite, libXdamage, libXext, libXfixes, libXi, libXrandr, libdrm, libglvnd-egl, libgudev, libwayland-client, libwayland-cursor, libwayland-egl, libwayland-server, libxkbcommon, mesa-libgbm, pango, zlib-ng-compat"
"cppcheck-htmlreport","2.16.2","This package contains the Python utility for generating html reports from xml files first generated using cppcheck. Fedora Project","cppcheck, python3, python3-pygments"
"ctpl-libs","0.3.5","This package contains the CTPL library. Fedora Project","glib2, glibc"
"dcap-tunnel-telnet","2.47.14","This package contains the telnet tunnel plugin library used by dcap-libs. This library is dynamically loaded at runtime. Fedora Project","dcap-libs, glibc, libxcrypt"
"ddnet-server","18.8.2","Standalone server for ddnet. Fedora Project","ddnet, glibc, json-parser, libcurl, libcurl-minimal, libgcc, libstdc++, openssl-libs, sqlite-libs, zlib-ng-compat"
"default-fonts-cjk-mono","4.1","This package provides default mono fonts package set(s) for CJK languages Fedora Project","google-noto-sans-mono-cjk-vf-fonts"
"dnssec-system-tray","","",""
"dogtag-pki","11.5.0","    Dogtag PKI is an enterprise software system designed to manage enterprise Public Key Infrastructure deployments.  Dogtag PKI consists of the following components:  * Certificate Authority (CA) * Key Recovery Authority (KRA) * Online Certificate Status Protocol (OCSP) Manager * Token Key Service (TKS) * Token Processing Service (TPS) * Automatic Certificate Management Environment (ACME) Responder * Enrollment over Secure Transport (EST) Responder Fedora Project","apache-commons-cli, apache-commons-codec, apache-commons-io, apache-commons-lang3, apache-commons-logging, apache-commons-net, dogtag-pki-acme, dogtag-pki-base, dogtag-pki-ca, dogtag-pki-est, dogtag-pki-java, dogtag-pki-javadoc, dogtag-pki-kra, dogtag-pki-ocsp, dogtag-pki-server, dogtag-pki-tests, dogtag-pki-theme, dogtag-pki-tks, dogtag-pki-tools, dogtag-pki-tps, esc, httpcomponents-client, httpcomponents-core, jackson-annotations, jackson-core, jackson-databind, jackson-jaxrs-json-provider, jackson-jaxrs-providers, jackson-module-jaxb-annotations, javapackages-filesystem, jaxb-api, jboss-jaxrs, jboss-logging, pki-resteasy-client, pki-resteasy-core, pki-resteasy-jackson2-provider, pki-resteasy-servlet-initializer, python3-dogtag-pki, slf4j, slf4j-jdk14, xml-commons-apis, xml-commons-resolver"
"eif_build","0.2.1","This CLI tool provides a low level path to assemble an enclave image format (EIF) file used in AWS Nitro Enclaves. Fedora Project","glibc, libgcc, openssl-libs"
"eiskaltdcpp","2.4.2","EiskaltDC++ is a cross-platform program that uses the Direct Connect (DC aka NMDC) and Advanced Direct Connect (ADC) protocols. It is compatible with DC++, AirDC++, FlylinkDC++ and other DC clients. EiskaltDC++ also interoperates with all common DC hub software. Fedora Project","bzip2-libs, eiskaltdcpp-data, glibc, libgcc, libidn, libstdc++, lua-libs, miniupnpc, openssl-libs, pcre-cpp, zlib-ng-compat"
"electron-cash","4.4.2","Electron Cash is an easy to use Bitcoin Cash client. It protects you from losing coins in a backup mistake or computer failure, because your wallet can be recovered from a secret phrase that you can write on paper or learn by heart. There is no waiting time when you start the client, because it does not download the Bitcoin block chain. Fedora Project","libsecp256k1, python3, python3-certifi, python3-cryptography, python3-dateutil, python3-dns, python3-ecdsa, python3-jsonrpclib, python3-pathvalidate, python3-protobuf, python3-psutil, python3-pyaes, python3-pycryptodomex, python3-pysocks, python3-qdarkstyle, python3-qrcode, python3-qt5, python3-requests, python3-stem, python3-zxing-cpp, qt5-qtbase, qt5-qtmultimedia, qt5-qtsvg, tor, zbar"
"erlang-ct_helper","0","Helper modules for common_test suites. Fedora Project","erlang-common_test, erlang-erts, erlang-kernel, erlang-public_key, erlang-ssl, erlang-stdlib"
"erlang-p1_mysql","1.0.25","This is an Erlang MySQL driver, used by ejabberd. Fedora Project","erlang-crypto, erlang-erts, erlang-kernel, erlang-public_key, erlang-ssl, erlang-stdlib"
"f40-backgrounds-extras-base","40.2.0","This package contains base images for  supplemental wallpapers. Fedora Project",""
"fdo-manufacturing-server","0.5.1","FDO Manufacturing Server implementation Fedora Project","bash, glibc, libgcc, libpq, openssl-libs, sqlite-libs, tpm2-tss"
"flacon","11.4.0","Flacon extracts individual tracks from one big audio file containing the entire album of music and saves them as separate audio files. To do this, it uses information from the appropriate CUE file. Besides, Flacon makes it possible to conveniently revise or specify tags both for all tracks at once or for each tag separately. Fedora Project","glibc, libgcc, libstdc++, qt5-qtbase, qt5-qtbase-gui, taglib, uchardet"
"flint","3.1.2","FLINT is a C library for doing number theory, written by William Hart and David Harvey. Fedora Project","flexiblas-netlib, glibc, gmp, mpfr"
"freeradius-client-utils","1.1.7","FreeRADIUS Client is a framework and library for writing RADIUS Clients. This package includes radius client test utilities such as, radiusclient, radexample, radstatus, radembedded and radacct. Fedora Project","freeradius-client, glibc, libxcrypt"
"fusioninventory-agent","2.6","FusionInventory Agent is an application designed to help a network or system administrator to keep track of the hardware and software configurations of computers that are installed on the network.  This agent can send information about the computer to a OCS Inventory NG or GLPI server with the FusionInventory for GLPI plugin.  You can add additional packages for optional tasks:  * fusioninventory-agent-task-network Network Discovery and Inventory support * fusioninventory-agent-inventory Local inventory support for FusionInventory * fusioninventory-agent-task-deploy Software deployment support * fusioninventory-agent-task-esx vCenter/ESX/ESXi remote inventory * fusioninventory-agent-task-collect Custom information retrieval support * fusioninventory-agent-task-wakeonlan Wake o lan task Fedora Project","bash, cronie, dmidecode, perl-English, perl-Fcntl, perl-FusionInventory-Agent, perl-Getopt-Long, perl-IO-Compress, perl-Pod-Usage, perl-XML-TreePP, perl-interpreter, perl-lib, perl-libs, perl-libwww-perl, systemd"
"geany","2.0","Geany is a small and fast integrated development environment with basic features and few dependencies to other packages or Desktop Environments.  Some features: - Syntax highlighting - Code completion - Code folding - Construct completion/snippets - Auto-closing of XML and HTML tags - Call tips - Support for Many languages like C, Java, PHP, HTML, Python, Perl, Pascal - symbol lists and symbol name auto-completion - Code navigation - Simple project management - Plugin interface Fedora Project","atk, cairo, cairo-gobject, gdk-pixbuf2, geany-libgeany, glib2, glibc, gtk3, harfbuzz, pango, vte291, zlib-ng-compat"
"ghc-asn1-parse","0.9.5","Simple monadic parser for ASN1 stream types, when ASN1 pattern matching is not convenient. Fedora Project","ghc-array, ghc-asn1-encoding, ghc-asn1-types, ghc-base, ghc-basement, ghc-bytestring, ghc-deepseq, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-hourglass, ghc-memory, ghc-pretty, ghc-template-haskell, ghc9.6-array, ghc9.6-base, ghc9.6-bytestring, ghc9.6-deepseq, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-pretty, ghc9.6-template-haskell, glibc, gmp"
"ghc-atomic-write","0.2.0.7","Atomically write to a file on POSIX-compliant systems while preserving permissions.  On most Unix systems, `mv` is an atomic operation. This makes it simple to write to a file atomically just by using the mv operation. However, this will destroy the permissions on the original file. This library does the following to preserve permissions while atomically writing to a file:  * If an original file exists, take those permissions and apply them to the temp file before `mv`ing the file into place.  * If the original file does not exist, create a following with default permissions (based on the currently-active umask).  This way, when the file is `mv`'ed into place, the permissions will be the ones held by the original file.  This library is based on similar implementations found in common libraries in Ruby and Python:  * <http://apidock.com/rails/File/atomic_write/class Ruby on Rails includes a similar method called atomic_write>  * <https://github.com/chef/chef/blob/c4631816132fcfefaba3d123a1d0dfe8bc2866bb/lib/chef/file_content_management/deploy/mv_unix.rb#L23:L71 Chef includes atomic update functionality>  * <https://github.com/sashka/atomicfile There is a python library for atomically updating a file>  To use `atomic-write`, import the module corresponding to the type you wish to write atomically, e.g., to write a (strict) ByteString atomically:  > import System.AtomicWrite.Writer.ByteString  Then you can use the atomicWriteFile function that accepts a `FilePath` and a `ByteString`, e.g.:  > atomicWriteFile myFilePath myByteString. Fedora Project","ghc-array, ghc-base, ghc-binary, ghc-bytestring, ghc-containers, ghc-deepseq, ghc-directory, ghc-exceptions, ghc-filepath, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-mtl, ghc-pretty, ghc-random, ghc-splitmix, ghc-stm, ghc-template-haskell, ghc-temporary, ghc-text, ghc-time, ghc-transformers, ghc-unix, ghc-unix-compat, ghc9.6-array, ghc9.6-base, ghc9.6-binary, ghc9.6-bytestring, ghc9.6-containers, ghc9.6-deepseq, ghc9.6-directory, ghc9.6-exceptions, ghc9.6-filepath, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-mtl, ghc9.6-pretty, ghc9.6-stm, ghc9.6-template-haskell, ghc9.6-text, ghc9.6-time, ghc9.6-transformers, ghc9.6-unix, glibc, gmp"
"ghc-attoparsec-devel","0.14.4","This package provides the Haskell attoparsec library development files. Fedora Project","ghc-array-devel, ghc-attoparsec, ghc-base-devel, ghc-bytestring-devel, ghc-compiler, ghc-containers-devel, ghc-deepseq-devel, ghc-scientific-devel, ghc-text-devel, ghc-transformers-devel"
"ghc-cabal-install-devel","3.10.3.0","This package provides the Haskell cabal-install library development files. Fedora Project","ghc-Cabal-devel, ghc-Cabal-syntax-devel, ghc-HTTP-devel, ghc-array-devel, ghc-async-devel, ghc-base-devel, ghc-base16-bytestring-devel, ghc-binary-devel, ghc-bytestring-devel, ghc-cabal-install, ghc-cabal-install-solver-devel, ghc-compiler, ghc-containers-devel, ghc-cryptohash-sha256-devel, ghc-directory-devel, ghc-echo-devel, ghc-edit-distance-devel, ghc-exceptions-devel, ghc-filepath-devel, ghc-hackage-security-devel, ghc-hashable-devel, ghc-lukko-devel, ghc-mtl-devel, ghc-network-uri-devel, ghc-parsec-devel, ghc-pretty-devel, ghc-process-devel, ghc-random-devel, ghc-regex-base-devel, ghc-regex-posix-devel, ghc-resolv-devel, ghc-safe-exceptions-devel, ghc-stm-devel, ghc-tar-devel, ghc-text-devel, ghc-time-devel, ghc-unix-devel, ghc-zlib-devel"
"ghc-cabal-install-solver","3.10.3.0","This package provides the Haskell cabal-install-solver library. Fedora Project","ghc-Cabal, ghc-Cabal-syntax, ghc-array, ghc-base, ghc-binary, ghc-bytestring, ghc-containers, ghc-deepseq, ghc-directory, ghc-edit-distance, ghc-exceptions, ghc-filepath, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-mtl, ghc-parsec, ghc-pretty, ghc-process, ghc-random, ghc-splitmix, ghc-stm, ghc-template-haskell, ghc-text, ghc-time, ghc-transformers, ghc-unix, ghc9.6-Cabal, ghc9.6-Cabal-syntax, ghc9.6-array, ghc9.6-base, ghc9.6-binary, ghc9.6-bytestring, ghc9.6-containers, ghc9.6-deepseq, ghc9.6-directory, ghc9.6-exceptions, ghc9.6-filepath, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-mtl, ghc9.6-parsec, ghc9.6-pretty, ghc9.6-process, ghc9.6-stm, ghc9.6-template-haskell, ghc9.6-text, ghc9.6-time, ghc9.6-transformers, ghc9.6-unix, glibc, gmp"
"ghc-cab-prof","0.2.21","This package provides the Haskell cab profiling library. Fedora Project","ghc-Cabal-prof, ghc-attoparsec-prof, ghc-base-prof, ghc-bytestring-prof, ghc-cab-devel, ghc-conduit-extra-prof, ghc-conduit-prof, ghc-containers-prof, ghc-directory-prof, ghc-filepath-prof, ghc-process-prof, ghc-resourcet-prof"
"ghc-cborg","0.2.10.0","This package provides an efficient implementation of the Concise Binary Object Representation (CBOR), as specified by [RFC 7049](https://tools.ietf.org/html/rfc7049).  If you are looking for a library for serialisation of Haskell values, have a look at the [serialise](/package/serialise) package, which is built upon this library.  An implementation of the standard bijection between CBOR and JSON is provided by the [cborg-json](/package/cborg-json) package. Also see [cbor-tool](/package/cbor-tool) for a convenient command-line utility for working with CBOR data.  This package was formerly known as 'binary-serialise-cbor'. Fedora Project","ghc-array, ghc-base, ghc-binary, ghc-bytestring, ghc-containers, ghc-deepseq, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-half, ghc-pretty, ghc-primitive, ghc-template-haskell, ghc-text, ghc-transformers, ghc9.6-array, ghc9.6-base, ghc9.6-binary, ghc9.6-bytestring, ghc9.6-containers, ghc9.6-deepseq, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-pretty, ghc9.6-template-haskell, ghc9.6-text, ghc9.6-transformers, glibc, gmp"
"ghc-criterion-devel","1.6.3.0","This package provides the Haskell criterion library development files. Fedora Project","ghc-Glob-devel, ghc-aeson-devel, ghc-base-compat-batteries-devel, ghc-base-devel, ghc-binary-devel, ghc-binary-orphans-devel, ghc-bytestring-devel, ghc-cassava-devel, ghc-code-page-devel, ghc-compiler, ghc-containers-devel, ghc-criterion, ghc-criterion-measurement-devel, ghc-deepseq-devel, ghc-directory-devel, ghc-exceptions-devel, ghc-filepath-devel, ghc-js-chart-devel, ghc-microstache-devel, ghc-mtl-devel, ghc-mwc-random-devel, ghc-optparse-applicative-devel, ghc-parsec-devel, ghc-prettyprinter-ansi-terminal-devel, ghc-prettyprinter-devel, ghc-statistics-devel, ghc-text-devel, ghc-time-devel, ghc-transformers-compat-devel, ghc-transformers-devel, ghc-vector-algorithms-devel, ghc-vector-devel, glibc, gmp, libffi"
"ghc-crypto-cipher-types","0.0.9","Generic cryptography cipher types. Fedora Project","ghc-array, ghc-base, ghc-basement, ghc-byteable, ghc-bytestring, ghc-deepseq, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-memory, ghc-pretty, ghc-securemem, ghc-template-haskell, ghc9.6-array, ghc9.6-base, ghc9.6-bytestring, ghc9.6-deepseq, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-pretty, ghc9.6-template-haskell, glibc, gmp"
"ghc-dataenc","0.14.0.7","Data encoding library currently providing Base16, Base32, Base32Hex, Base64, Base64Url, Base85, Python string escaping, Quoted-Printable, URL encoding, uuencode, xxencode, and yEncoding. Fedora Project","ghc-array, ghc-base, ghc-containers, ghc-deepseq, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-pretty, ghc-template-haskell, ghc9.6-array, ghc9.6-base, ghc9.6-containers, ghc9.6-deepseq, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-pretty, ghc9.6-template-haskell, glibc, gmp"
"ghc-digest","0.0.2.1","This package provides efficient hash implementations for strict and lazy bytestrings. For now, CRC32 and Adler32 are supported; they are implemented as FFI bindings to efficient code from zlib. Fedora Project","ghc-array, ghc-base, ghc-bytestring, ghc-deepseq, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-pretty, ghc-template-haskell, ghc9.6-array, ghc9.6-base, ghc9.6-bytestring, ghc9.6-deepseq, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-pretty, ghc9.6-template-haskell, glibc, gmp, zlib-ng-compat"
"ghc-haxr-devel","3000.11.5","This package provides the Haskell haxr library development files. Fedora Project","ghc-HaXml-devel, ghc-HsOpenSSL-devel, ghc-array-devel, ghc-base-compat-devel, ghc-base-devel, ghc-base64-bytestring-devel, ghc-blaze-builder-devel, ghc-bytestring-devel, ghc-compiler, ghc-haxr, ghc-http-streams-devel, ghc-http-types-devel, ghc-io-streams-devel, ghc-mtl-devel, ghc-network-devel, ghc-network-uri-devel, ghc-old-locale-devel, ghc-old-time-devel, ghc-template-haskell-devel, ghc-text-devel, ghc-time-devel, ghc-utf8-string-devel"
"ghc-pureMD5","2.1.4","A Haskell-only implementation of the MD5 digest (hash) algorithm. This now supports the crypto-api class interface. Fedora Project","ghc-array, ghc-base, ghc-binary, ghc-bytestring, ghc-cereal, ghc-containers, ghc-crypto-api, ghc-deepseq, ghc-entropy, ghc-exceptions, ghc-filepath, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-mtl, ghc-pretty, ghc-stm, ghc-tagged, ghc-template-haskell, ghc-time, ghc-transformers, ghc-unix, ghc9.6-array, ghc9.6-base, ghc9.6-binary, ghc9.6-bytestring, ghc9.6-containers, ghc9.6-deepseq, ghc9.6-exceptions, ghc9.6-filepath, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-mtl, ghc9.6-pretty, ghc9.6-stm, ghc9.6-template-haskell, ghc9.6-time, ghc9.6-transformers, ghc9.6-unix, glibc, gmp"
"ghc-these-prof","1.2.1","This package provides the Haskell these profiling library. Fedora Project","ghc-assoc-prof, ghc-base-prof, ghc-binary-prof, ghc-deepseq-prof, ghc-hashable-prof, ghc-these-devel"
"ghc-th-orphans-prof","0.13.14","This package provides the Haskell th-orphans profiling library. Fedora Project","ghc-base-prof, ghc-mtl-prof, ghc-template-haskell-prof, ghc-th-compat-prof, ghc-th-lift-prof, ghc-th-orphans-devel, ghc-th-reify-many-prof"
"ghc-tls-session-manager","0.0.4","TLS session manager with limitation, automatic pruning, energy saving and replay resistance. Fedora Project","ghc-array, ghc-asn1-encoding, ghc-asn1-parse, ghc-asn1-types, ghc-async, ghc-auto-update, ghc-base, ghc-basement, ghc-binary, ghc-bytestring, ghc-cereal, ghc-clock, ghc-containers, ghc-crypton, ghc-crypton-x509, ghc-crypton-x509-store, ghc-crypton-x509-validation, ghc-data-default-class, ghc-deepseq, ghc-directory, ghc-exceptions, ghc-filepath, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-hashable, ghc-hourglass, ghc-memory, ghc-mtl, ghc-network, ghc-old-locale, ghc-old-time, ghc-os-string, ghc-pem, ghc-pretty, ghc-psqueues, ghc-stm, ghc-template-haskell, ghc-text, ghc-time, ghc-tls, ghc-transformers, ghc-unix, ghc-unix-time, ghc9.6-array, ghc9.6-base, ghc9.6-binary, ghc9.6-bytestring, ghc9.6-containers, ghc9.6-deepseq, ghc9.6-directory, ghc9.6-exceptions, ghc9.6-filepath, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-mtl, ghc9.6-pretty, ghc9.6-stm, ghc9.6-template-haskell, ghc9.6-text, ghc9.6-time, ghc9.6-transformers, ghc9.6-unix, glibc, gmp"
"ghc-x509-prof","","",""
"ghc-zlib","0.6.3.0","This package provides a pure interface for compressing and decompressing streams of data represented as lazy 'ByteString's. It uses the <https://en.wikipedia.org/wiki/Zlib zlib C library> so it has high performance. It supports the ""zlib"", ""gzip"" and ""raw"" compression formats.  It provides a convenient high level API suitable for most tasks and for the few cases where more control is needed it provides access to the full zlib feature set. Fedora Project","ghc-array, ghc-base, ghc-bytestring, ghc-deepseq, ghc-ghc-bignum, ghc-ghc-boot-th, ghc-pretty, ghc-template-haskell, ghc9.6-array, ghc9.6-base, ghc9.6-bytestring, ghc9.6-deepseq, ghc9.6-ghc-bignum, ghc9.6-ghc-boot-th, ghc9.6-pretty, ghc9.6-template-haskell, glibc, gmp, zlib-ng-compat"
"globus-gass-cache-devel","10.3","The Grid Community Toolkit (GCT) is an open source software toolkit used for building grid systems and applications. It is a fork of the Globus Toolkit originally created by the Globus Alliance. It is supported by the Grid Community Forum (GridCF) that provides community-based support for core software packages in grid computing.  The globus-gass-cache-devel package contains: Globus Gass Cache Development Files Fedora Project","globus-common-devel, globus-gass-cache, openssl-devel, pkgconf-pkg-config"
"globus-gss-assist","12.7","The Grid Community Toolkit (GCT) is an open source software toolkit used for building grid systems and applications. It is a fork of the Globus Toolkit originally created by the Globus Alliance. It is supported by the Grid Community Forum (GridCF) that provides community-based support for core software packages in grid computing.  The globus-gss-assist package contains: GSSAPI Assist library Fedora Project","glibc, globus-callout, globus-common, globus-gsi-cert-utils, globus-gsi-credential, globus-gsi-sysconfig, globus-gssapi-gsi"
"globus-io-devel","12.4","The Grid Community Toolkit (GCT) is an open source software toolkit used for building grid systems and applications. It is a fork of the Globus Toolkit originally created by the Globus Alliance. It is supported by the Grid Community Forum (GridCF) that provides community-based support for core software packages in grid computing.  The globus-io-devel package contains: uniform I/O interface Development Files Fedora Project","globus-common-devel, globus-gss-assist-devel, globus-gssapi-error-devel, globus-gssapi-gsi-devel, globus-io, globus-xio-devel, globus-xio-gsi-driver-devel, pkgconf-pkg-config"
"globus-openssl-module-devel","5.2","The Grid Community Toolkit (GCT) is an open source software toolkit used for building grid systems and applications. It is a fork of the Globus Toolkit originally created by the Globus Alliance. It is supported by the Grid Community Forum (GridCF) that provides community-based support for core software packages in grid computing.  The globus-openssl-module-devel package contains: Globus OpenSSL Module Wrapper Development Files Fedora Project","globus-common-devel, globus-gsi-openssl-error-devel, globus-gsi-proxy-ssl-devel, globus-openssl-module, openssl-devel, pkgconf-pkg-config"
"gnome-calendar","47~rc","Calendar is a simple and beautiful calendar application designed to fit GNOME 3. Features: * Week, month and year views * Basic editing of events * Evolution Data Server integration * Search support Fedora Project","evolution-data-server, geoclue2-libs, glib2, glibc, graphene, gsettings-desktop-schemas, gtk4, libadwaita, libgcc, libgweather, libical, libical-glib, libsoup3, pango"
"golang-github-aquarapid-vaultlib-devel","","",""
"golang-github-bifurcation-mint","0"," A Minimal TLS 1.3 Implementation in Go. Fedora Project","glibc"
"golang-github-chappjc-logrus-prefix-devel","0","Logrus Prefixed Log Formatter.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/chappjc/logrus-prefix Fedora Project","go-filesystem, golang-github-mgutz-ansi-devel, golang-github-sirupsen-logrus-devel, golang-x-crypto-devel"
"golang-github-cryptix-wav-devel","","",""
"golang-github-docker-distribution-devel","2.8.1","The Docker toolset to pack, ship, store, and deliver content.  This repository's main product is the Docker Registry 2.0 implementation for storing and distributing Docker images. It supersedes the docker/docker-registry project with a new API design, focused around security and performance.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/docker/distribution Fedora Project","go-filesystem, golang-github-aws-sdk-devel, golang-github-azure-sdk-devel, golang-github-bshuster-repo-logrus-logstash-hook-devel, golang-github-bugsnag-devel, golang-github-denverdino-aliyungo-devel, golang-github-distribution, golang-github-docker-events-devel, golang-github-docker-libtrust-devel, golang-github-docker-metrics-devel, golang-github-gomodule-redigo-devel, golang-github-gorilla-handlers-devel, golang-github-gorilla-mux-devel, golang-github-mitchellh-mapstructure-devel, golang-github-ncw-swift-devel, golang-github-opencontainers-digest-devel, golang-github-opencontainers-image-spec-devel, golang-github-shopify-logrus-bugsnag-devel, golang-github-sirupsen-logrus-devel, golang-github-spf13-cobra-devel, golang-github-yvasiyarov-gorelic-devel, golang-gopkg-check, golang-gopkg-yaml, golang-x-crypto-devel"
"golang-github-emersion-sasl-devel","0","A SASL library written in Go.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/emersion/go-sasl Fedora Project","go-filesystem"
"golang-github-fernet","0"," Fernet takes a user-provided *message* (an arbitrary sequence of bytes), a key (256 bits), and the current time, and produces a token, which contains the message in a form that can't be read or altered without the key. Fedora Project","glibc"
"golang-github-heistp-irtt-devel","0.9.1","Isochronous Round-Trip Tester.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/heistp/irtt Fedora Project","go-filesystem, golang-github-spf13-pflag-devel, golang-x-net-devel, golang-x-sys-devel"
"golang-github-jcmturner-aescts-devel","2.0.0","AES CBC Ciphertext Stealing mode for Go.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/jcmturner/aescts Fedora Project","go-filesystem"
"golang-github-jcmturner-goidentity-devel","6.0.1","Standard interface for holding authenticated identities and their attributes.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/jcmturner/goidentity Fedora Project","go-filesystem, golang-github-hashicorp-uuid-devel"
"golang-github-jtolds-gls-devel","4.20.0","Package Gls implements goroutine-local storage.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/jtolds/gls Fedora Project","go-filesystem"
"golang-github-minio-highwayhash-devel","1.0.2","Native Go version of HighwayHash with optimized assembly implementations on Intel and ARM  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/minio/highwayhash Fedora Project","go-filesystem"
"golang-github-mistifyio-zfs-devel","2.1.1","Simple wrappers for ZFS command line tools.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/mistifyio/go-zfs Fedora Project","go-filesystem, golang-github-google-uuid-devel"
